eng_text,ksl_text
I need to rehearse the poem,POEM REHEARSE ME WANT
That school rehearse the song ,SCHOOL THAT SONG REHEARSE
To rehearse is good,REHEARSE GOOD
They remain at home,THEY HOME REMAIN
This water remain cold,WATER THIS COLD REMAIN
Our school remain the best,SCHHOL OUR BEST REMAIN
Must I remind you,MEYOU REMIND MUST
She remind me to go home,SHE HOME GO ME REMIND
They will remind us about it,FUTURE THEYUS REMIND
I promise to remind you,REMIND YOUME PROMISE
Revenue in Kenya is high,REVENUE KENYA HIGH
We have a revenue body,REVENUE BODY WE HAVE
Revenue authority is corrupt,AUTHORITY REVENUE CORRUPT
The students got their revenge,STUDENT MANY REVENGE THEIR GET FINISH
I don’t like revenge,ME LIKE REVENGE NOTHING
We will revenge for him,WEHIM REEVENGE
Rhino is an animal,RHINO ANIMAL
I have seen a rhino,RHINO ME SEE FINISH
This park has no Rhino,PARK THIS RHINO HAVE ZERO
Rhino has two horns,RHINO HORN TWO HAVE
     My car is ablaze ,NOW CAR MINE ABLAZE
     She set the house ablaze,HOUSE GIRL THAT SET ABLAZE
     Please don’t set the tree ablaze,PLEASE TREE SET ABLAZE NOTHING
     The people in the flat above mine make a lot of noise ,FLAT ABOVE MINE PEOPLE THERE NOISE A LOT MAKE
     You must get above  to pass,BEFORE YOU PASS  SAME ABOVE GET MUST
     I need children aged  and above ,CHILDREN AGE  SAME ABOVE ME NEED
     The temperature today is above average ,TODAY TEMPERATURE ABOVE AVERAGE
     I have two facebook accounts ,ACCOUNT FACEBOOK TWO ME HAVE
     Those twitter accounts have many followers ,FOLLOWER MANY TWITTER ACCOUNT THOSE HAVE
 I cant remember the business accounts ,BUSINESS ACCOUNT ME REMEMBER ZERO
 You have to keep your accounts,ACCOUNT YOUR KEEP MUST
 Do you know the actual place,PLACE ACTUAL YOU KNOW
 This is the actual information,INFORMATION ACTUAL THIS
 The actual damage to my car is not great,CAR MINE DAMAGE ACTUAL GREAT NOTHING
 Who has the actual plan,PLAN ACTUAL HAVE WHO
 Keep the actual drawing ,DRAWING ACTUAL KEEP
 Adam was created by God,PAST ADAM GOD CREATE
 Adam had one wife,PAST WIFE ONE ADAM HAVE
 Adam ate the apple,APPLE ADAM EAT FINISH
 Who will tell Adam the truth,TRUTH TELL ADAM WHO
     Adam and Eve had two sons ,PAST SON TWO ADAM SAME EVE HAVE
     Why are you agitated,YOU AGITATED WHY
     The school has to plan ahead,SCHOOL PLAN AHEAD MUST
     We are ahead of the group,GROUP THAT WE AHEAD
     Look straight ahead,AHEAD STRAIGHT LOOK
     The path ahead looks narrow,PATH THAT AHEAD NARROW
     The two parties formed an alliance,ALLIANCE PARTY TWO THOSE FORM FINISH
     The two groups must form an alliance,ALLIANCE GROUP TWO THOSE FORM MUST
     Why don’t you support that alliance,ALLIANCE THAT YOU SUPPORT NOTHING WHY
 Please support our alliance,ALLIANCE OUR SUPPORT PLEASE
